system:index,Amazonia,Area_Estavel,Caatinga,Campinarana,Cerrado,Contato_Ecotono_e_Encrave,Estepe,Ferralsols,Floresta_Estacional_Decidual,Floresta_Estacional_Semidecidual,Floresta_Estacional_Sempre_Verde,Floresta_Ombrofila_Aberta,Floresta_Ombrofila_Densa,Floresta_Ombrofila_Mista,Formacao_Pioneira,Histosols,Humisols,Mata_Atlantica,Pampa,Pantanal,Sandysols,Savana,Savana_Estepica,Thinsols,Wetsols,ano,antropico,bdod,black_soil_prob,cagb,campoAlagado-areaPantanosa,cbgb,cdw,cec,cfvo,clayminerals,clitter,convergence,cti,ctotal,dataset_id,eastness,elevation,estoque,evi_mean,formacaoCampestre,formacaoFlorestal,formacaoSavanica,latitude,lavouras,longitude,lv1_Humid_subtropical_zone,lv1_Tropical,lv2_monsoon,lv2_oceanic_climate_without_sry_season,lv2_with_dry_summer,lv2_with_dry_winter,lv2_without_dry_season,lv3_with_hot_summer,lv3_with_temperate_summer,mapbiomas_clay_v003,mapbiomas_sand_v003,mapbiomas_silt_v003,mapbiomas_v001_1984,mosaicoDeUsos,natural,ndvi_mean,nitrogen,northness,outrasFormacoesFlorestais,oxides,pastagem,pcurv,phh2o,restingas,roughness,savi_mean,silvicultura,slope,soc,spi,year,.geo
0000000000000000121d,0,0,0,0,0,1,0,6,0,0,0,0,0,0,0,0,14,0,1,0,0,0,0,7,3,2008,0,110,12,0.73,0,0.77,0.0,148,103,38,3.63,5,2,5.13,ctb0029-46,-5,310,4658,-2,0,8,0,25507,0,18706,1,0,0,1,0,0,0,1,0,21.774850920499983,53.8462597920095,24.378889287490516,74,0,10,-5,23,-6,0,153,0,-2,54,0,25,0,0,9,277,0,2008,"{""type"":""Point"",""coordinates"":[-53.50693849981328,-30.5080011232007]}"
00000000000000000254,0,1,0,0,0,1,0,22,0,0,0,0,0,0,0,1,4,1,0,0,11,0,0,10,9,1989,0,111,43,8.13,0,4.31,0.4,212,78,25,0.39,-54,-35,13.24,ctb0811-119,-6,153,3178,1,0,24,0,17806,0,7137,1,0,0,1,0,0,0,1,0,22.72820561767807,65.84329265332416,11.428501728997755,102,0,24,2,25,-24,0,118,0,15,53,0,73,1,0,27,417,0,1989,"{""type"":""Point"",""coordinates"":[-41.93753327058474,-22.806924026150156]}"
0000000000000000018b,0,1,0,0,0,0,1,11,0,0,0,0,0,0,0,0,5,1,0,0,0,0,0,28,0,1987,0,93,84,0.72,0,4.64,0.78,209,80,32,2.85,-17,-27,8.99,ctb0572-Perfil-034,9,1252,7315,0,0,22,0,21670,0,16729,1,0,0,1,0,0,0,0,1,68.11070419426073,7.2976133597387065,24.59168244600054,100,0,22,0,32,-15,0,164,0,2,50,0,43,0,0,18,349,0,1987,"{""type"":""Point"",""coordinates"":[-51.5299247021512,-26.67012865121774]}"
000000000000000001e7,0,1,0,0,0,0,1,33,0,0,0,0,0,0,0,0,12,1,0,0,0,0,0,4,1,1987,0,100,77,0.72,0,4.64,0.78,178,57,22,2.85,-13,-16,8.99,ctb0572-Perfil-029,7,870,8561,0,0,22,0,21520,0,17450,1,0,0,1,0,0,0,0,1,71.51547973209087,6.47017869188452,22.014341576024606,69,0,22,0,32,-8,0,135,0,-5,51,0,31,0,0,11,328,0,1987,"{""type"":""Point"",""coordinates"":[-52.250016013070066,-26.52001747335453]}"
0000000000000000121e,0,1,0,0,0,0,1,18,0,0,0,0,0,0,0,0,6,1,0,0,2,0,0,4,0,2008,0,101,28,0.72,0,4.64,0.78,188,89,31,2.85,24,27,8.99,ctb0029-63,2,893,8730,0,0,43,0,23352,0,16107,1,0,0,1,0,0,0,0,1,60.647661183979785,8.990463103451956,30.361875712568253,62,0,43,0,24,2,0,140,0,-2,49,0,10,0,0,3,310,3,2008,"{""type"":""Point"",""coordinates"":[-50.90766160924389,-28.352043600263833]}"
0000000000000000121c,0,1,0,0,0,0,0,8,0,0,0,0,0,0,1,2,5,0,1,0,7,0,0,4,16,2008,0,114,5,1.04,0,10.15,0.0,173,95,32,1.59,-21,-24,12.77,ctb0029-16,0,33,3976,0,0,43,0,24867,0,15767,1,0,0,1,0,0,0,1,0,11.134246457802114,80.58731569858169,8.278437843616189,47,0,43,-1,23,-8,0,139,0,-15,51,0,20,0,0,8,326,0,2008,"{""type"":""Point"",""coordinates"":[-50.56702196156905,-29.867143578900507]}"
00000000000000000188,0,0,0,0,0,0,0,9,1,0,0,0,0,0,0,0,9,1,0,0,0,0,0,46,1,1987,0,100,40,58.14,0,11.92,2.98,172,87,40,2.79,-28,-28,75.82,ctb0572-Perfil-023,11,480,3240,6,0,22,0,21929,0,18170,1,0,0,1,0,0,0,1,0,43.98539628918901,19.737752838871167,36.27685087193983,78,0,22,11,31,4,0,182,0,16,52,0,36,6,0,12,364,0,1987,"{""type"":""Point"",""coordinates"":[-52.97010286488788,-26.929920337692547]}"
000000000000000001e4,0,1,0,0,0,0,0,11,1,0,0,0,0,0,0,0,16,1,0,0,0,0,0,14,4,1987,0,100,36,58.14,0,11.92,2.98,163,117,25,2.79,11,-27,75.82,ctb0572-Perfil-021,-4,520,3565,2,0,22,0,22099,0,18000,1,0,0,1,0,0,0,1,0,56.2609136622435,15.506435270036897,28.232651067719594,62,0,22,1,30,17,0,147,0,4,52,0,48,1,0,18,384,0,1987,"{""type"":""Point"",""coordinates"":[-52.80005504621472,-27.09997261546676]}"
000000000000000001e5,0,1,0,0,0,0,0,31,1,0,0,0,0,0,0,0,13,1,0,0,0,0,0,12,2,1987,0,105,64,58.14,0,11.92,2.98,169,42,25,2.79,-16,-15,75.82,ctb0572-Perfil-025,1,498,6397,0,0,22,0,21829,0,18270,1,0,0,1,0,0,0,1,0,66.83043072518589,8.552436641074786,24.61713263373933,64,0,22,1,29,1,0,145,0,5,52,0,10,0,0,3,311,0,1987,"{""type"":""Point"",""coordinates"":[-53.07008482870824,-26.82993837387219]}"
00000000000000000333,0,1,0,0,0,0,0,9,1,0,0,0,0,0,0,1,20,1,0,0,0,0,0,8,2,1995,0,100,21,58.14,0,11.92,2.98,203,109,40,2.79,5,-24,75.82,ctb0621-Ipira-8,-21,560,4329,0,0,30,0,22385,0,16993,1,0,0,1,0,0,0,1,0,33.7146135026102,19.35326996141512,46.932116535974686,48,0,30,-3,27,-13,0,164,0,-6,52,0,75,0,0,26,316,0,1995,"{""type"":""Point"",""coordinates"":[-51.79376079328148,-27.38590355231687]}"
