system:index,Amazonia,Area_Estavel,Caatinga,Campinarana,Cerrado,Contato_Ecotono_e_Encrave,Estepe,Ferralsols,Floresta_Estacional_Decidual,Floresta_Estacional_Semidecidual,Floresta_Estacional_Sempre_Verde,Floresta_Ombrofila_Aberta,Floresta_Ombrofila_Densa,Floresta_Ombrofila_Mista,Formacao_Pioneira,Histosols,Humisols,Mata_Atlantica,Pampa,Pantanal,Sandysols,Savana,Savana_Estepica,Thinsols,Wetsols,ano,antropico,bdod,black_soil_prob,cagb,campoAlagado-areaPantanosa,cbgb,cdw,cec,cfvo,clayminerals,clitter,convergence,cti,ctotal,dataset_id,eastness,elevation,estoque,evi_mean,formacaoCampestre,formacaoFlorestal,formacaoSavanica,lavouras,lv1_Humid_subtropical_zone,lv1_Tropical,lv2_monsoon,lv2_oceanic_climate_without_sry_season,lv2_with_dry_summer,lv2_with_dry_winter,lv2_without_dry_season,lv3_with_hot_summer,lv3_with_temperate_summer,mapbiomas_clay_v003,mapbiomas_sand_v003,mapbiomas_silt_v003,mapbiomas_v001_1984,mosaicoDeUsos,natural,ndvi_mean,nitrogen,northness,outrasFormacoesFlorestais,oxides,pastagem,pcurv,phh2o,restingas,roughness,savi_mean,silvicultura,slope,soc,spi,year,.geo
0_00000000000000002502_0,0,1,0,0,0,0,0,23,0,1,0,0,0,0,0,0,3,1,0,0,3,0,0,7,3,1985,20,124,15,96.5,0,22.68,2.98,144,90,52,3.63,5,9,125.79,ctb0832-131,-5,83,1450,3,0,0,0,0,0,1,0,0,0,1,0,0,0,31.77114363377574,53.31988952527945,14.908966840944812,43,0,0,3,16,-1,0,174,20,-6,58,0,25,2,0,6,184,0,1985,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-41.6165665777545,-21.549999761092643]}"
0_0000000000000000250a_0,0,1,0,0,0,0,0,31,0,1,0,0,0,0,0,0,5,1,0,0,5,0,0,5,8,1985,20,125,10,96.5,0,22.68,2.98,87,94,47,3.63,-3,86,125.79,ctb0832-139,-2,111,1900,0,0,0,0,0,0,1,0,0,0,1,0,0,0,28.00782474216379,45.1751416991139,26.817033558722297,44,0,0,-1,17,-3,0,174,20,-1,54,0,16,0,0,4,186,192,1985,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-42.256885712274894,-21.492866909022638]}"
0_00000000000000000e8b_0,0,1,0,0,0,0,0,36,0,1,0,0,0,0,0,0,3,1,0,0,3,0,0,3,0,1985,20,125,22,96.5,0,22.68,2.98,114,82,57,3.63,-1,-34,125.79,ctb0064-14287,-16,393,1923,1,0,0,0,0,1,0,0,1,0,0,0,1,0,38.12681700219242,46.176510918917664,15.696672078889915,48,0,0,2,17,35,0,180,20,13,54,0,114,0,0,42,205,0,1985,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-42.10246531493475,-21.883364563029396]}"
0_000000000000000024ef_0,0,0,0,0,0,1,0,38,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,4,1,1985,20,113,27,75.1,0,17.65,2.98,122,97,29,3.76,25,-12,99.48,ctb0832-100,25,576,2448,-4,0,0,0,0,1,0,0,0,0,0,0,0,0,41.75208389147656,41.18469419209435,17.06322191642909,48,0,0,-6,20,17,0,147,20,-16,49,0,101,-4,0,33,231,1,1985,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-42.71664347468727,-22.066620880989774]}"
0_000000000000000024f0_0,0,0,0,0,0,0,0,36,0,1,0,0,0,0,0,0,4,1,0,0,3,0,0,2,2,1985,20,118,30,96.5,0,22.68,2.98,118,113,46,3.63,1,-2,125.79,ctb0832-101,13,306,2456,0,0,0,0,0,1,0,0,0,0,0,0,0,0,33.85440283332776,47.86041475680452,18.285182409867705,38,0,0,0,17,-6,0,163,20,-4,53,0,51,-1,0,15,196,35,1985,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-42.666786976418635,-22.03320355242053]}"
0_000000000000000024f3_0,0,1,0,0,0,0,0,35,0,0,0,0,1,0,0,0,2,1,0,0,0,0,0,2,2,1985,20,109,33,140.0,0,32.9,2.98,105,111,46,7.0,0,-19,182.88,ctb0832-105,12,972,3805,-2,0,0,0,0,1,0,0,0,0,0,0,0,0,42.39453653762158,40.44291859957241,17.16254486280601,50,0,0,-3,23,-19,0,196,20,4,50,0,66,-1,0,24,225,0,1985,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-42.666786976418635,-22.149894707827656]}"
0_000000000000000024fd_0,0,0,0,0,0,0,0,37,0,1,0,0,0,0,0,0,6,1,0,0,5,0,0,5,1,1985,20,117,17,96.5,0,22.68,2.98,110,111,39,3.63,-12,-21,125.79,ctb0832-125,4,366,3386,0,0,0,0,0,1,0,0,0,0,0,0,0,0,34.575001104585816,46.34300776823852,19.081991127175655,39,0,0,0,17,-17,0,148,20,0,53,0,67,0,0,21,218,0,1985,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-41.94993137969125,-21.549999761092643]}"
0_000000000000000024fe_0,0,1,0,0,0,0,0,19,0,1,0,0,0,0,0,0,0,1,0,0,3,0,0,3,6,1985,20,127,9,96.5,0,22.68,2.98,120,75,55,3.63,2,12,125.79,ctb0832-127,-3,48,1922,1,0,0,0,0,0,1,0,0,0,1,0,0,0,32.77514061571852,53.41572461928868,13.809134764992791,43,0,0,0,14,-1,0,171,20,-6,58,0,17,0,0,5,180,0,1985,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-41.816801054584744,-21.566708425377264]}"
0_000000000000000024ff_0,0,0,0,0,0,0,0,25,0,1,0,0,0,0,0,0,4,1,0,0,4,0,0,7,2,1985,20,125,17,96.5,0,22.68,2.98,127,95,44,3.63,-10,-41,125.79,ctb0832-128,35,216,1648,2,0,0,0,0,0,1,0,0,0,1,0,0,0,34.38309058938062,49.26376983505033,16.35313957556905,48,0,0,4,17,30,0,153,20,12,55,0,151,2,0,55,208,0,1985,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-41.73325773316162,-21.533291096808014]}"
0_00000000000000002500_0,0,1,0,0,0,0,0,12,0,1,0,0,0,0,0,0,4,1,0,0,1,0,0,4,7,1985,20,123,13,96.5,0,22.68,2.98,133,75,52,3.63,21,-24,125.79,ctb0832-129,21,39,2136,2,0,0,0,0,0,1,0,0,0,1,0,0,0,31.845880820976248,51.340140617415884,16.81397856160787,44,0,0,6,15,12,0,165,20,-4,59,0,65,4,0,26,182,0,1985,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-41.70010989917761,-21.633273587930518]}"
0_00000000000000002504_0,0,1,0,0,0,0,0,17,0,1,0,0,0,0,0,1,4,1,0,0,4,0,0,8,3,1985,20,131,9,96.5,0,22.68,2.98,141,75,93,3.63,39,-13,125.79,ctb0832-133,-2,36,2271,0,0,0,0,0,0,1,0,0,0,1,0,0,0,37.58221747575,48.23299779366865,14.184784730581343,44,0,0,0,14,21,0,233,20,-13,57,0,54,0,0,22,175,3,1985,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-41.53329275091662,-21.600125753946507]}"
