system:index,Amazonia,Area_Estavel,Caatinga,Campinarana,Cerrado,Contato_Ecotono_e_Encrave,Estepe,Ferralsols,Floresta_Estacional_Decidual,Floresta_Estacional_Semidecidual,Floresta_Estacional_Sempre_Verde,Floresta_Ombrofila_Aberta,Floresta_Ombrofila_Densa,Floresta_Ombrofila_Mista,Formacao_Pioneira,Histosols,Humisols,Mata_Atlantica,OGC_0,OGC_0_53,OGC_1_03,OGC_1_57,OGC_2_10,OGC_2_60,Pampa,Pantanal,Sandysols,Savana,Savana_Estepica,Thinsols,Wetsols,ano,bdod,black_soil_prob,cagb,cbgb,cdw,cec,cfvo,clayminerals,clitter,convergence,cti,ctotal,dataset_id,eastness,elevation,estoque,lv1_Humid_subtropical_zone,lv1_Tropical,lv2_monsoon,lv2_oceanic_climate_without_sry_season,lv2_with_dry_summer,lv2_with_dry_winter,lv2_with_dry_winter_1,lv2_without_dry_season,lv3_with_hot_summer,lv3_with_temperate_summer,mapbiomas_clay_v002,mapbiomas_sand_v002,mapbiomas_silt_v002,nitrogen,northness,oxides,pcurv,phh2o,roughness,slope,soc,spi,.geo
00000000000000001ba4_0,0,0,0,0,1,1,0,27,0,0,0,0,0,0,0,0,2,0,21.499874,47.097008,59.289288,56.1665,37.400375,10.0849085,0,0,4,0,0,8,4,1960,135,4,62.23,14.64,2.98,68,29,33,3.63,-19,-11,83.48,ctb0682-238,0,292,1702,0,1,0,0,0,0,0,1,0,0,11.593971156363965,81.67735925540127,6.728669588234762,13,1,158,2,53,4,1,137,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-56.16657923463839,-21.49987376823878]}"
00000000000000001b15_0,0,0,1,0,0,0,0,2,0,0,0,0,0,0,0,0,1,0,8.850067,27.902977,38.805676,39.85,29.795406,12.667454,0,0,0,0,1,6,1,1961,138,4,9.59,5.85,1.25,220,54,75,1.6,-27,-7,18.28,ctb0678-46,0,367,836,0,0,0,0,0,0,0,0,0,0,12.503258898757567,70.15707258690985,17.33966851433258,7,0,179,0,66,2,0,58,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-39.850029571533454,-8.85006743185291]}"
00000000000000001b45_0,0,1,1,0,0,0,0,5,0,0,0,0,0,0,0,0,1,0,8.066647,25.862713,36.097202,37.16664,27.884533,11.975853,0,0,5,0,1,50,5,1962,135,5,9.59,5.85,1.25,152,110,65,1.6,-17,-10,18.28,ctb0678-97,0,669,958,0,0,0,0,0,0,0,0,0,0,9.752386688048448,79.07334517695264,11.174268134998913,10,-1,172,1,61,7,2,102,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-37.166671986340035,-8.066646672572276]}"
00000000000000000fdc_0,0,0,1,0,0,0,0,4,0,0,0,0,0,0,0,1,1,0,2.9675395,22.961187,36.01676,40.08879,32.995403,17.852354,0,0,14,0,1,3,8,1963,131,4,101.61,21.89,22.18,132,149,55,1.41,14,16,147.09,ctb0064-8486,0,33,998,0,1,0,0,1,0,0,0,0,0,19.737544815771884,67.474899986586,12.787555197642122,12,0,167,0,54,1,0,144,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-40.08880177405243,-2.967539625324635]}"
00000000000000002209_0,0,0,1,0,0,1,0,22,0,0,0,0,0,0,0,0,3,0,13.433362,34.09632,44.940437,44.266727,31.26397,10.97069,0,0,1,0,0,2,2,1964,133,5,25.1399,8.72297,3.27638,98,73,60,2.9703,-42,-12,40.1095,ctb0777-15,1,507,3432,0,1,0,0,0,1,0,0,0,0,31.823049648741453,39.22698414495179,28.949966206306758,12,0,208,0,59,4,1,145,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-44.26677632896391,-13.433361842959123]}"
00000000000000001ae8_0,1,0,0,0,0,0,0,22,0,0,0,0,1,0,0,0,3,0,6.1332927,29.899832,44.75331,48.366573,38.508915,19.341146,0,0,4,0,0,4,8,1965,119,10,139.27124,43.17,13.09,84,79,51,5.59,-39,-19,201.12123,ctb0677-70,0,129,3418,0,1,0,0,0,1,0,0,0,0,22.06022902207838,46.89620149282449,31.043569485097127,15,-6,179,-1,50,16,7,337,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-48.366597454156995,-6.133292518090242]}"
00000000000000001ae7_0,0,0,0,0,1,0,0,15,0,0,0,0,0,0,0,0,6,0,5.63338,29.333862,44.26942,48.100048,38.53398,19.635769,0,0,30,1,0,2,1,1965,127,4,55.8736,113.98,0.2,83,81,55,3.0,7,-4,173.0536,ctb0677-5,-1,140,1681,0,1,0,0,0,1,0,0,0,0,16.976386951183063,48.93643196339229,34.08718108542465,15,1,186,0,50,5,2,141,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-48.100067309358735,-5.633380062477727]}"
00000000000000001aea_0,1,0,0,0,0,0,0,17,0,0,0,1,0,0,0,0,1,0,6.501692,30.346842,45.16051,48.621784,38.541054,19.15396,0,0,5,0,0,4,5,1965,125,4,90.51219,28.06,8.51,97,90,54,3.63,15,0,130.71219,ctb0677-80,-2,132,341,0,1,0,0,0,1,0,0,0,0,20.559887374093588,46.6482327973678,32.791879828538626,15,2,175,-2,51,10,3,273,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-48.62180882637535,-6.501691616107657]}"
00000000000000001034_0,0,1,0,0,0,0,0,8,0,1,0,0,0,0,0,2,6,1,10.656759,28.000216,37.260254,36.986073,26.410631,9.654514,0,0,11,0,0,4,13,1966,132,22,58.05,11.9,2.98,134,109,54,5.24,-25,-8,78.16,ctb0064-9004,0,12,3550,0,1,0,0,1,0,0,0,0,0,20.60660977676736,54.742986360427295,24.650403862805355,15,-1,159,-1,54,10,1,243,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-36.98611061423201,-10.656759131274093]}"
0000000000000000195b_0,0,1,0,0,0,0,0,22,0,0,0,0,1,0,0,1,3,1,18.105051,36.170654,44.026688,40.44231,25.594057,5.0027995,0,0,3,0,0,5,2,1966,136,5,141.1,33.16,2.98,156,40,65,3.41,13,6,180.64,ctb0662-P55,4,222,4433,0,1,0,0,0,1,0,0,0,0,27.953045696757368,60.994550289248,11.052404013994643,14,2,181,0,54,13,5,175,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-40.44237866988187,-18.105050478022694]}"
