system:index,Amazonia,Area_Estavel,Caatinga,Campinarana,Cerrado,Contato_Ecotono_e_Encrave,Estepe,Ferralsols,Floresta_Estacional_Decidual,Floresta_Estacional_Semidecidual,Floresta_Estacional_Sempre_Verde,Floresta_Ombrofila_Aberta,Floresta_Ombrofila_Densa,Floresta_Ombrofila_Mista,Formacao_Pioneira,Histosols,Humisols,Mata_Atlantica,OGC_0,OGC_0_53,OGC_1_03,OGC_1_57,OGC_2_10,OGC_2_60,Pampa,Pantanal,Sandysols,Savana,Savana_Estepica,Thinsols,Wetsols,ano,antropico,bdod,black_soil_prob,cagb,campoAlagado-areaPantanosa,cbgb,cdw,cec,cfvo,clayminerals,clitter,convergence,cti,ctotal,dataset_id,eastness,elevation,estoque,formacaoCampestre,formacaoFlorestal,formacaoSavanica,lavouras,lv1_Humid_subtropical_zone,lv1_Tropical,lv2_monsoon,lv2_oceanic_climate_without_sry_season,lv2_with_dry_summer,lv2_with_dry_winter,lv2_without_dry_season,lv3_with_hot_summer,lv3_with_temperate_summer,mapbiomas_clay_v003,mapbiomas_sand_v003,mapbiomas_silt_v003,mb_evi2_median,mb_evi2_median_dry,mb_evi2_median_wet,mb_ndvi_median,mb_ndvi_median_dry,mb_ndvi_median_wet,mb_savi_median,mb_savi_median_dry,mb_savi_median_wet,mosaicoDeUsos,natural,nitrogen,northness,outrasFormacoesFlorestais,oxides,pastagem,pcurv,phh2o,restingas,roughness,silvicultura,slope,soc,spi,year,.geo
0_00000000000000000dcb_0,0,1,0,0,0,0,0,31,1,0,0,0,0,0,0,0,5,1,16.587526,35.573704,44.453472,41.835606,27.565804,7.0182343,0,0,4,0,0,10,1,1958,0,129,14,58.14,0,11.92,2.98,133,87,54,2.79,-4,-22,75.82,ctb0064-11722,-5,542,6063,0,0,20,0,0,1,0,0,1,0,0,0,0,25.28986595056601,54.05949307985382,20.650640969580163,13403,11505,14866,15486,12634,17020,13441,11626,14788,0,20,13,9,0,167,0,6,59,0,30,0,11,164,0,1958,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-41.83566567555125,-16.587526468559584]}"
0_00000000000000001b31_0,0,0,1,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,7.7834077,26.636961,37.67444,39.16656,29.750124,13.237681,0,0,2,0,1,11,1,1958,20,135,4,9.59,0,5.85,1.25,188,116,72,1.6,2,-1,18.28,ctb0678-73,1,492,5971,0,0,0,0,0,0,0,0,0,0,0,0,0,29.099894036125733,26.530390712867668,44.36971525100659,0,0,0,0,0,0,0,0,0,20,0,11,2,0,188,0,-1,67,0,8,0,3,101,0,1958,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-39.16659130337533,-7.783407863489391]}"
0_00000000000000001022_0,0,0,1,0,0,0,0,48,0,0,0,0,0,0,0,0,2,0,7.533317,27.125864,38.737812,40.54988,31.068106,14.157104,0,0,2,0,1,8,1,1958,0,136,14,9.59,0,5.85,1.25,135,93,65,1.6,1,11,18.28,ctb0064-8944,0,649,6209,0,0,20,0,0,0,0,0,0,0,0,0,0,22.741484419392748,67.91223009390181,9.346285486705437,0,0,0,0,0,0,0,0,0,0,20,8,-3,0,190,0,-1,50,0,9,0,3,91,0,1958,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-40.54990700939098,-7.533316888390516]}"
1_00000000000000000dce_0,0,1,0,0,0,0,0,19,1,0,0,0,0,0,0,0,9,1,16.11079,34.24381,42.655926,40.029182,26.253624,6.509048,0,0,3,0,0,5,8,1959,20,139,9,74.1,0,19.6,8.2,213,54,65,4.6,32,56,106.4,ctb0064-11752,0,150,3524,0,0,0,0,0,1,0,0,0,1,0,0,0,31.74695895696295,50.75800829464101,17.495032748396035,11557,11532,15195,12655,12315,16936,11676,11638,15046,0,0,14,0,0,173,20,-1,63,0,5,0,1,165,7,1959,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-40.0292434707153,-16.110790547277354]}"
1_00000000000000000dd0_0,0,1,0,0,0,0,0,31,1,0,0,0,0,0,0,0,5,1,16.587526,35.573704,44.453472,41.835606,27.565804,7.0182343,0,0,4,0,0,10,1,1959,0,129,14,58.14,0,11.92,2.98,133,87,54,2.79,-4,-22,75.82,ctb0064-11764,-5,542,3937,0,0,20,0,0,1,0,0,1,0,0,0,0,25.28986595056601,54.05949307985382,20.650640969580163,13403,11505,14866,15486,12634,17020,13441,11626,14788,0,20,13,9,0,167,0,6,59,0,30,0,11,164,0,1959,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-41.83566567555125,-16.587526468559584]}"
1_00000000000000000e40_0,0,0,0,0,0,0,0,35,0,1,0,0,0,0,0,0,8,1,16.091927,34.581234,43.24433,40.72394,26.86123,6.8789425,0,0,0,0,0,11,6,1959,20,120,13,96.5,0,22.68,2.98,116,88,34,3.63,-38,-36,125.79,ctb0064-12603,2,441,4209,0,0,0,0,0,1,0,0,1,0,0,0,0,35.44178592581948,48.992698617373605,15.565515456806917,12854,12193,13164,14617,14507,15037,12968,12351,13262,20,0,15,-30,0,139,0,0,56,0,90,0,33,224,0,1959,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-40.72400051145334,-16.091925926310847]}"
1_00000000000000000f90_0,0,0,0,0,0,0,0,43,0,1,0,0,0,0,0,0,1,1,21.454329,41.47372,49.82394,45.196724,27.981441,4.5400977,0,0,1,0,0,5,0,1959,20,121,15,75.1,0,17.65,2.98,100,95,39,3.76,33,5,99.48,ctb0064-8048,2,892,4595,0,0,0,0,1,0,0,0,0,0,0,0,0,44.58952618858046,30.96173983070864,24.4487339807109,13590,12571,14348,16357,14801,17352,13686,12715,14375,0,0,16,5,0,157,20,-1,52,0,14,0,5,211,0,1959,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-45.19680214261285,-21.45432918333392]}"
1_00000000000000000f97_0,0,0,0,0,0,1,0,39,0,0,0,0,0,0,0,0,1,1,20.97355,41.518913,50.355362,46.098454,29.002333,5.4129376,0,0,6,0,0,4,0,1959,20,119,15,43.49,0,15.42,4.26,96,63,57,5.33,9,-17,68.5,ctb0064-8081,10,821,6434,0,0,0,0,1,0,0,0,0,0,0,0,0,44.96147140017365,36.88150342701141,18.157025172814954,12479,12160,13182,14324,13889,15507,12610,12300,13296,0,0,15,3,0,187,20,-2,52,0,28,0,11,190,0,1959,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-46.098531024812026,-20.97355084327315]}"
1_00000000000000001023_0,0,0,1,0,0,1,0,61,0,0,0,0,0,0,0,0,0,0,7.3832083,26.5386,37.886868,39.650036,30.369987,13.828257,0,0,2,0,0,5,3,1959,20,132,42,13.53,0,9.24,1.82,140,92,69,1.88,-16,2,26.47,ctb0064-8945,0,922,6944,0,0,0,0,0,1,0,0,1,0,0,0,0,23.706680790901615,66.30353866980579,9.98978053929258,0,0,0,0,0,0,0,0,0,20,0,9,0,0,213,0,0,50,0,0,0,0,122,0,1959,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-39.650064589288455,-7.383208404414143]}"
2_00000000000000001ba4_0,0,0,0,0,1,1,0,27,0,0,0,0,0,0,0,0,2,0,21.499874,47.097008,59.289288,56.1665,37.400375,10.0849085,0,0,4,0,0,8,4,1960,0,135,4,62.23,0,14.64,2.98,68,29,33,3.63,-19,-11,83.48,ctb0682-238,0,292,1702,0,20,0,0,0,1,0,0,0,0,1,0,0,11.87628337840288,81.17387161852453,6.949845003072587,13861,13611,14467,17556,16885,18031,13963,13723,14501,0,20,13,1,0,152,0,2,53,0,4,0,1,137,0,1960,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-56.16657923463839,-21.49987376823878]}"
2_00000000000000001ba3_0,0,0,0,0,1,1,0,20,0,0,0,0,0,0,0,0,4,0,21.316618,46.95628,59.224766,56.199917,37.522427,10.259656,0,0,3,0,0,9,10,1960,20,133,4,69.2,0,15.22,7.61,101,36,54,11.17,25,-8,103.21,ctb0682-234,-1,224,1831,0,0,0,0,0,1,1,0,0,0,0,0,0,16.81734390700461,70.80237954171335,12.380276551282044,12810,12420,13269,15362,14728,16562,12951,12571,13408,20,0,13,5,0,173,0,0,55,0,15,0,6,138,0,1960,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-56.199996563207634,-21.316617450278393]}"
2_00000000000000001ba2_0,0,0,0,0,1,1,0,17,0,0,0,0,0,0,0,1,3,0,21.450018,47.376476,59.809025,56.799812,37.970875,10.450201,0,0,3,0,0,39,3,1960,20,128,13,84.38,0,20.25,9.28,100,44,53,13.63,-6,-2,127.54,ctb0682-233,0,395,9895,0,0,0,0,0,1,0,0,0,0,1,0,0,49.85757434458725,21.686997451342233,28.455428204070532,14615,13306,14810,17369,15338,17603,14598,13390,14768,0,0,16,-1,0,181,20,0,57,0,5,0,2,179,0,1960,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-56.799891509942654,-21.450017269970143]}"
2_00000000000000001ba5_0,0,0,0,0,1,0,0,32,0,0,0,0,0,0,0,0,2,0,21.55,47.420147,59.788242,56.716537,37.8483,10.321753,0,0,4,1,0,2,8,1960,20,124,5,4.17,0,13.94,0.0,120,44,56,0.38,0,2,18.49,ctb0682-244,0,463,6057,0,0,0,0,1,0,0,1,0,0,0,1,0,48.79211889981227,22.968430202551914,28.239450897635816,13851,13096,14675,16589,15312,17190,13923,13208,14641,20,0,17,0,0,186,0,0,62,0,3,0,1,182,0,1960,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-56.71661768310477,-21.549999761092646]}"
2_00000000000000001ba8_0,0,1,0,0,1,1,0,48,0,0,0,0,0,0,0,0,1,0,21.700108,47.311882,59.463123,56.250042,37.370358,9.955084,0,0,2,0,0,4,0,1960,0,127,4,62.23,0,14.64,2.98,89,28,31,3.63,-25,-8,83.48,ctb0682-255,4,348,2329,0,20,0,0,0,1,0,0,0,0,1,0,0,12.489228782996122,78.78239492989012,8.728376287113756,13848,13577,14947,17358,16208,18092,13945,13671,14907,0,20,13,-1,0,133,0,0,53,0,12,0,4,155,0,1960,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-56.2501225560615,-21.700108245069018]}"
2_00000000000000000e3f_0,0,0,0,0,1,0,0,35,0,0,0,0,0,0,0,0,0,0,20.860363,41.5632,50.537365,46.376842,29.29957,5.652073,0,0,8,1,0,6,1,1960,20,123,15,7.4,0,17.58,0.03,92,60,67,1.78,31,-14,26.79,ctb0064-12602,-7,911,3161,0,0,0,0,1,0,0,0,0,0,0,0,0,48.096443726741214,26.003448168073866,25.90010810518492,12444,12060,12856,14041,13373,14760,12570,12186,12975,0,0,15,6,0,177,20,-2,52,0,30,0,10,196,0,1960,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-46.37691893136066,-20.86036311747409]}"
2_00000000000000000e39_0,0,0,0,0,1,1,0,50,0,0,0,0,0,0,0,0,0,0,21.04955,41.338905,49.97906,45.61633,28.548662,5.1021037,0,0,5,0,0,4,3,1960,20,123,9,32.2926,0,14.1623,3.3152,97,49,43,3.98505,-4,-14,53.7551,ctb0064-12569,3,872,599,0,0,0,0,1,0,0,0,0,0,0,0,0,56.171128157507134,27.800838311803165,16.028033530689704,11284,10922,11480,12203,11725,12534,11394,11016,11597,20,0,16,3,0,182,0,2,50,0,14,0,5,188,0,1960,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-45.61640521182508,-21.04954831630966]}"
2_00000000000000000ed3_0,0,0,0,0,0,0,0,39,0,1,0,0,0,0,0,0,2,1,21.076498,41.081837,49.518875,45.06575,28.061039,4.7986436,0,0,1,0,0,3,1,1960,20,116,8,75.1,0,17.65,2.98,112,56,52,3.76,35,2,99.48,ctb0064-5924,-2,873,4109,0,0,0,0,1,0,0,0,0,0,0,0,0,43.09916848763451,35.339163299463664,21.56166821290183,12669,12158,13837,15687,14274,17062,12829,12307,13926,0,0,18,-3,0,163,20,-1,51,0,20,0,5,203,0,1960,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-45.06582777418822,-21.076497774833246]}"
2_00000000000000000ed5_0,0,1,0,0,1,0,0,46,0,0,0,0,0,0,0,1,1,0,20.812124,41.104774,49.807865,45.55785,28.619184,5.2766976,0,0,4,1,0,5,3,1960,0,128,8,12.2632,20,25.017,1.71685,94,38,51,3.12059,14,61,40.9321,ctb0064-5937,0,771,6831,0,0,0,0,1,0,0,0,0,0,0,0,0,46.94590797728744,31.06191304543502,21.992178977277547,12407,11879,13023,14917,13690,16126,12566,12024,13170,0,20,14,0,0,165,0,-3,52,0,5,0,1,161,13,1960,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-45.5579248868289,-20.812123586716872]}"
2_00000000000000000ed6_0,0,0,0,0,1,0,0,53,0,0,0,0,0,0,0,0,1,0,20.531311,41.002583,49.90083,45.831924,28.998041,5.657921,0,0,5,1,0,2,2,1960,20,125,11,12.0666,0,24.6159,1.68932,97,30,51,3.07057,-29,-16,40.3345,ctb0064-5950,-5,824,15484,0,0,0,0,1,0,0,0,0,0,0,0,0,50.490367385261855,31.771782306874503,17.737850307863646,11842,11050,12247,13030,12162,13855,11966,11153,12380,0,0,14,-4,0,187,20,3,52,0,18,0,7,169,0,1960,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-45.832000880013766,-20.53131022890111]}"
2_00000000000000000efc_0,0,0,0,0,0,1,0,39,0,0,0,0,0,0,0,0,1,1,20.97355,41.518913,50.355362,46.098454,29.002333,5.4129376,0,0,6,0,0,4,0,1960,20,119,15,43.49,0,15.42,4.26,96,63,57,5.33,9,-17,68.5,ctb0064-7336,10,821,5356,0,0,0,0,1,0,0,0,0,0,0,0,0,44.96147140017365,36.88150342701141,18.157025172814954,12479,12160,13182,14324,13889,15507,12610,12300,13296,0,0,15,3,0,187,20,-2,52,0,28,0,11,190,0,1960,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-46.098531024812026,-20.97355084327315]}"
2_00000000000000000f7e_0,0,0,0,0,0,0,0,50,0,1,0,0,0,0,0,0,2,1,21.567516,41.852787,50.357784,45.749996,28.400047,4.7243075,0,0,4,0,0,4,0,1960,20,120,9,75.1,0,17.65,2.98,104,59,55,3.76,-4,-16,99.48,ctb0064-7976,-9,891,2318,0,0,0,0,1,0,0,0,0,0,0,0,0,50.9000791978613,29.973567024731622,19.126353777407072,12681,11178,13653,14680,12371,16136,12805,11294,13735,0,0,17,11,0,201,20,0,51,0,43,0,15,205,0,1960,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-45.75007452610207,-21.567516909132976]}"
2_00000000000000000f87_0,0,0,0,0,0,0,0,54,0,1,0,0,0,0,0,0,1,1,21.259214,41.589203,50.20386,45.753498,28.560001,4.99146,0,0,1,0,0,3,1,1960,20,123,13,75.1,0,17.65,2.98,99,46,46,3.76,-11,-20,99.48,ctb0064-8007,10,865,8244,0,0,0,0,1,0,0,0,0,0,0,0,0,55.95695568211073,27.3446619236265,16.698382394262776,12720,12944,12720,14701,14386,14701,12849,13037,12849,0,0,16,-9,0,190,20,-2,52,0,40,0,14,185,0,1960,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-45.75357795571013,-21.25921510362316]}"
2_00000000000000000f8a_0,0,0,0,0,0,0,0,44,0,1,0,0,0,0,0,0,0,1,21.394232,41.575912,50.053616,45.499096,28.272297,4.7457447,0,0,7,0,0,5,0,1960,20,119,17,75.1,0,17.65,2.98,84,56,43,3.76,-36,-29,99.48,ctb0064-8022,-2,1022,8508,0,0,0,0,1,0,0,0,0,0,0,0,0,51.86193395593192,28.261006015674152,19.877060028393934,12997,12463,13531,15056,14537,15575,13106,12606,13607,0,0,17,-18,0,181,20,9,51,0,47,0,19,206,0,1960,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-45.49917506724748,-21.394231890826322]}"
2_00000000000000000f96_0,0,0,0,0,0,1,0,48,0,0,0,0,0,0,0,0,1,1,21.38992,41.809944,50.453415,45.96613,28.676487,4.9871936,0,0,7,0,0,4,1,1960,20,126,10,43.49,0,15.42,4.26,107,69,60,5.33,-29,-23,68.5,ctb0064-8068,3,811,12065,0,0,0,0,1,0,0,0,0,0,0,0,0,55.70618046131766,27.275603202705074,17.01821633597728,12102,11726,13020,13893,13161,15342,12237,11860,13145,0,0,15,-7,0,191,20,3,51,0,24,0,8,194,0,1960,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-45.96620918346122,-21.389919977462547]}"
2_00000000000000001ba1_0,0,0,0,0,1,0,0,16,0,1,0,0,0,0,0,0,5,0,21.43331,47.05672,59.284164,56.199917,37.463024,10.159215,0,0,3,0,0,13,6,1960,20,132,4,121.92,0,29.26,13.41,102,52,52,2.87,17,4,167.46,ctb0682-232,1,217,1634,0,0,0,0,0,1,0,0,0,0,1,0,0,16.21046148978021,71.89186885264822,11.897669657571566,12297,12169,13380,15104,14464,16296,12453,12327,13501,20,0,13,0,0,178,0,0,55,0,4,0,1,155,0,1960,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-56.199996563207634,-21.43330860568552]}"
2_00000000000000001ba6_0,0,0,0,0,1,0,0,70,0,0,0,0,0,0,0,0,1,0,21.55,47.352238,59.67342,56.583138,37.73348,10.253847,0,0,2,1,0,2,2,1960,20,133,4,4.17,0,13.94,0.0,99,31,57,0.38,21,-2,18.49,ctb0682-245,-2,392,2373,0,0,0,0,0,1,0,0,0,0,1,0,0,32.486623314482145,55.89422101730973,11.619155668208128,12333,12291,14267,14122,13835,16724,12469,12421,14278,0,0,13,-1,0,208,20,-1,55,0,7,0,3,134,0,1960,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-56.583217863413026,-21.549999761092646]}"
2_00000000000000001ba7_0,0,0,0,0,1,1,0,61,0,0,0,0,0,0,0,0,1,0,21.616566,47.222965,59.39183,56.216625,37.38412,10.009983,0,0,1,0,0,0,2,1960,20,129,4,62.23,0,14.64,2.98,90,54,51,3.63,25,2,83.48,ctb0682-252,0,334,3944,0,0,0,0,0,1,0,0,0,0,1,0,0,13.216793466754384,78.57710024498445,8.206106288261166,13533,13116,14562,15981,15341,17314,13629,13218,14564,20,0,13,3,0,196,0,1,49,0,9,0,3,143,0,1960,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-56.216705227492255,-21.616564923645903]}"
2_00000000000000000e3a_0,0,1,0,0,1,0,0,39,0,0,0,0,0,0,0,1,0,0,20.590868,40.90802,49.684566,45.545452,28.721144,5.460831,0,0,7,1,0,3,3,1960,0,123,12,12.3393,0,25.1722,1.7275,103,39,48,3.13996,-22,-9,41.1634,ctb0064-12573,-4,808,624,0,0,20,0,1,0,0,0,0,0,0,0,0,51.6702362541118,31.191194743021565,17.138569002866635,12648,11892,13132,15415,13575,16429,12805,12033,13279,0,20,14,2,0,160,0,0,53,0,13,0,4,168,0,1960,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-45.54552813590804,-20.590868532238233]}"
2_00000000000000000f99_0,0,0,0,0,1,1,0,51,0,0,0,0,0,0,0,1,0,0,21.106682,41.53144,50.25055,45.89795,28.761982,5.196283,0,0,3,0,0,4,2,1960,0,119,10,43.49,0,15.42,4.26,106,34,26,5.33,-16,-17,68.5,ctb0064-8092,-6,809,4648,0,20,0,0,1,0,0,0,0,0,0,0,0,52.513414439738085,29.680142326025226,17.806443234236692,14496,13728,14908,17582,15244,18260,14500,13760,14872,0,20,15,2,0,131,0,3,51,0,16,0,6,185,0,1960,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-45.89802705339655,-21.106681168379662]}"
2_000000000000000020f1_0,0,1,0,0,0,0,0,29,0,1,0,0,0,0,0,0,1,1,21.050087,41.042503,49.477364,45.033142,28.046415,4.804777,0,0,2,0,0,2,0,1960,0,119,7,75.1,0,17.65,2.98,108,62,30,3.76,24,0,99.48,ctb0769-44,7,968,5373,0,20,0,0,1,0,0,0,0,0,0,0,0,53.46238115111219,16.887411430109196,29.650207418778606,13000,13118,14153,17493,16295,18158,13170,13253,14233,0,20,18,-14,0,122,0,-9,51,0,57,0,19,201,1,1960,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-45.033218929374684,-21.050087305480133]}"
3_00000000000000001b15_0,0,0,1,0,0,0,0,2,0,0,0,0,0,0,0,0,1,0,8.850067,27.902977,38.805676,39.85,29.795406,12.667454,0,0,0,0,1,6,1,1961,0,138,4,9.59,0,5.85,1.25,220,54,75,1.6,-27,-7,18.28,ctb0678-46,0,367,836,0,0,20,0,0,0,0,0,0,0,0,0,0,13.007336021046756,70.61481408796143,16.377849890991815,11355,11073,11518,13178,12034,15469,11501,11177,11693,0,20,7,0,0,180,0,0,66,0,2,0,0,58,0,1961,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-39.850029571533454,-8.85006743185291]}"
3_00000000000000000e3c_0,0,1,0,0,1,0,0,45,0,0,0,0,0,0,0,0,2,0,16.607738,39.01357,50.25084,48.558956,33.342567,10.423265,0,0,3,1,0,2,1,1961,20,128,4,10.7193,0,21.8675,1.5007,82,46,54,2.72772,3,-23,36.2387,ctb0064-12592,7,854,5976,0,0,0,0,0,1,0,0,0,1,0,0,0,43.858072670075224,32.65173377088372,23.49019355904106,11757,11626,13029,13549,12769,14748,11904,11758,13165,0,0,13,0,0,188,20,0,54,0,19,0,8,180,0,1961,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-48.559016588015396,-16.607738562452276]}"
3_00000000000000001b14_0,0,1,1,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,7.6834254,27.026108,38.427074,40.100094,30.604544,13.798941,0,0,1,0,1,7,0,1961,20,133,5,9.59,0,5.85,1.25,204,92,76,1.6,-70,-6,18.28,ctb0678-45,0,534,1389,0,0,0,0,0,1,0,0,1,0,0,0,0,18.154919814103568,63.26155407600176,18.58352610989467,0,0,0,0,0,0,0,0,0,0,0,10,-1,0,197,20,0,61,0,3,0,1,80,0,1961,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-40.10012054663233,-7.683425372366887]}"
3_00000000000000000e3b_0,0,0,0,0,1,1,0,43,0,0,0,0,0,0,0,0,1,0,19.378681,39.30781,48.12597,44.45158,28.396658,5.9473915,0,0,7,0,0,6,4,1961,20,131,9,11.9455,0,24.3687,1.67237,99,29,55,3.03975,-3,-8,39.9661,ctb0064-12591,1,698,7944,0,0,0,0,1,0,0,0,0,0,0,0,0,54.086185023265585,28.829206963438747,17.08460801329567,12322,11196,12739,13779,12534,14866,12446,11302,12872,20,0,12,2,0,208,0,0,54,0,7,0,2,149,0,1961,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-44.45164961443571,-19.37868188784735]}"
3_00000000000000000e3d_0,0,1,0,0,1,0,0,53,0,0,0,0,0,0,0,0,0,0,15.78066,37.914124,49.17452,47.797638,33.108288,10.747629,0,0,6,1,0,4,1,1961,0,116,8,22.8929,0,14.7952,2.67908,70,22,37,4.19551,2,-3,44.5627,ctb0064-12593,2,1071,6901,0,20,0,0,1,0,0,0,0,0,0,0,0,57.91634841362302,23.341173113507555,18.74247847286944,12449,11904,14108,15548,13879,17441,12624,12055,14173,0,20,12,-4,0,147,0,1,52,0,12,0,4,181,0,1961,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-47.797694384724096,-15.780659680363431]}"
3_00000000000000001b13_0,0,1,1,0,0,0,0,42,0,0,0,0,0,0,0,0,1,0,9.08318,28.502285,39.598434,40.63315,30.350832,12.865456,0,0,1,0,1,5,4,1961,0,137,4,9.59,0,5.85,1.25,195,82,73,1.6,2,8,18.28,ctb0678-44,1,430,1853,0,0,20,0,0,0,0,0,0,0,0,0,0,12.663574821621578,75.50730754117103,11.829117637207384,11492,11131,13595,13577,12328,15969,11640,11246,13628,0,20,7,0,0,167,0,0,60,0,5,0,2,69,0,1961,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-40.63318083622886,-9.083180248081927]}"
4_00000000000000001b45_0,0,1,1,0,0,0,0,5,0,0,0,0,0,0,0,0,1,0,8.066647,25.862713,36.097202,37.16664,27.884533,11.975853,0,0,5,0,1,50,5,1962,0,135,5,9.59,0,5.85,1.25,152,110,65,1.6,-17,-10,18.28,ctb0678-97,0,669,958,0,0,20,0,0,0,0,0,0,0,0,0,0,10.052712428694157,78.4973232866024,11.44996428470346,11645,11357,11645,13013,12507,13013,11775,11476,11775,0,20,10,-1,0,169,0,1,61,0,7,0,2,102,0,1962,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-37.166671986340035,-8.066646672572276]}"
4_00000000000000000dda_0,0,0,0,0,0,0,0,14,0,0,0,0,0,0,1,2,2,1,9.613007,26.601229,35.8825,36.00269,26.095509,10.0523405,0,0,7,0,0,0,14,1962,20,129,6,78.54,0,18.46,2.98,159,76,43,3.77,-55,-4,103.74,ctb0064-11942,0,8,4989,0,0,0,0,0,1,0,0,1,0,0,0,0,22.758688076831803,55.43490505697118,21.80640686619702,12268,12268,12268,13757,13757,13757,12396,12396,12396,20,0,17,0,0,149,0,0,54,0,1,0,0,252,0,1962,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-36.002724872706374,-9.61300660265562]}"
