"","map_version","biome","ME_mean","ME_sd","MAE_mean","MAE_sd","MSE_mean","MSE_sd","RMSE_mean","RMSE_sd","NSE_mean","NSE_sd","Rsquared_mean","Rsquared_sd"
"1","Cbeta","Amazônia",97.003224,2.78012228181467,1379.44457,1.95748972847131,4925166.398286,22871.1955065754,2219.265665,5.15354976832681,0.271436,0.00338754462492505,0.29016,0.00135079475296822
"2","Cbeta","Caatinga",204.832789,6.05938594703542,1252.205669,5.04771549978871,4518562.233398,109171.310261203,2125.536552,25.7529074814903,0.516268,0.0116826460265566,0.299536,0.00280844757433315
"3","Cbeta","Cerrado",-130.874348,10.1576493152308,2086.438826,7.42451267530614,28545702.195328,167191.409012819,5342.795128,15.649607439457,0.196839,0.00470846851508808,0.29728,0.00274329301491047
"4","Cbeta","Mata Atlântica",116.669379,6.85737714446812,2047.61265,4.45914450345883,21505590.009897,143907.53404378,4637.386312,15.5121277182445,0.496028,0.00337321834754319,0.28792,0.00202239981460171
"5","Cbeta","Pampa",512.127756,34.0402227596461,2991.212316,25.6518410462754,57526873.017455,659163.596713242,7584.524009,43.4443166434063,-0.181899,0.0135438494371341,0.004062,0.00220099977283052
"6","Cbeta","Pantanal",369.550896,22.6832933026473,1825.75662,15.9273308772605,7391743.559899,77175.1742752562,2718.739458,14.1893136599001,0.217584,0.00816349004390706,0.456992,0.0103245777177812
"7","Cbeta","Brasil",56.6111077,5.17016558450244,1054.903048,5.18177225799838,6070729.7048913,341248.407033802,2405.0027568,62.6910497609488,0.7312996,0.0140812274143609,0.7344351,0.00288798783364347
"8","v0-0-0","Amazônia",93.000858,2.86659246254137,1373.822729,1.80372024770438,4942881.398642,22882.8540233295,2223.253288,5.14529319271958,0.271432,0.00337321235859257,0.295415,0.00136429024726701
"9","v0-0-0","Caatinga",183.508382,6.54098861036196,1234.349231,5.2945894444033,4495850.008247,121631.485554382,2120.150422,28.6424201720567,0.519714,0.0129921500775031,0.312005,0.00297101740897701
"10","v0-0-0","Cerrado",-130.149912,8.4883177913367,2069.12735,6.40099369941098,28660839.570315,170000.706384296,5353.558625,15.879622820759,0.195567,0.00477205787513483,0.312359,0.00304564915705647
"11","v0-0-0","Mata Atlântica",127.436178,6.11010916934626,2046.602486,4.71204636280847,21547501.085549,192734.393063165,4641.882688,20.7483728620458,0.497125,0.00449411230996127,0.291956,0.00175541413571806
"12","v0-0-0","Pampa",546.198568,33.1748899469447,3002.065149,29.0808469348154,57926317.73127,817274.886962572,7610.746304,53.7335459107287,-0.190102,0.0167876456498416,0.00539,0.00267561000313739
"13","v0-0-0","Pantanal",382.013964,20.4011493007234,1798.679217,14.8109069142997,7270974.422837,80861.0897631654,2696.433103,15.0061418055264,0.230368,0.00856054940179695,0.496997,0.0114590924156278
"14","v0-0-0","Brasil",94.7233713,4.35523519325663,1691.0156064,4.82785410019113,13973571.9511414,349242.748675102,3661.5157612,50.9424047365457,0.193,0.0934793230526614,0.3501398,0.00122997000866778
"15","v0-0-1","Amazônia",88.915994,2.58346056901994,1375.493366,2.08860565600763,4936854.36675,22320.2997742061,2221.897703,5.02288118782046,0.272316,0.00329013585424583,0.289142,0.00119190705352491
"16","v0-0-1","Caatinga",179.345788,6.77184080012804,1254.844096,5.04217874382001,4369090.144666,130135.761756423,2090.007181,31.1420620371548,0.53326,0.0139021835360747,0.294805,0.00242938139027077
"17","v0-0-1","Cerrado",-118.092884,8.33894994847527,2067.874533,7.12404480969316,28213249.125704,197248.225433646,5311.58241,18.570409832613,0.208136,0.00553624457917134,0.312712,0.00265509915354427
"18","v0-0-1","Mata Atlântica",124.772514,6.30995440097853,2034.468464,4.68323610710079,21552281.412588,159694.121019281,4642.411945,17.1960455062848,0.496846,0.00372871521729901,0.30162,0.0019771931947316
"19","v0-0-1","Pampa",545.744965,33.8939727363524,2917.132825,26.2465062548125,57937903.671212,766122.368234023,7611.530507,50.3228456808419,-0.190337,0.0157338960800746,0.024357,0.00441261403549672
"20","v0-0-1","Pantanal",332.26333,18.6860536603769,1751.107423,17.21364053232,7015873.602522,86876.5051970733,2648.699223,16.3922836692359,0.257372,0.00919401518116623,0.501286,0.0103336267798021
"21","v0-0-1","Brasil",93.1816393,4.65865469617598,1688.3474316,4.66057780897567,13938154.8843103,352216.028024557,3659.2526573,51.3131823623877,0.3804855,0.0216126495122508,0.3504501,0.0012135301996467
"22","v0-0-2","Brasil",93.3356561,4.83108198563061,1663.6888633,4.66322067550516,13793817.2741995,345986.431767202,3636.6389878,51.7525636918089,0.3888915,0.0212816216238188,0.3696307,0.00141557944376717
"23","v0-0-3","Amazônia",102.807191,3.01432421289138,1357.185637,1.942737249173,4826276.465258,23119.5208492507,2196.872559,5.26330982509758,0.286064,0.00341681876971116,0.314945,0.00128922300615369
"24","v0-0-3","Caatinga",147.005614,5.06485879548343,1209.45687,4.00842884856902,4156000.382366,110221.744407084,2038.450932,26.9340336910249,0.555085,0.0117979742739886,0.325149,0.00283062241076468
"25","v0-0-3","Cerrado",-136.504135,8.16616759033325,2034.302744,5.46358104236859,28499820.0481,157460.15200904,5338.502076,14.7579505197934,0.198132,0.00442757383913697,0.331879,0.00262144593457099
